Event_1,Event_2,Correlation
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Government Payrolls (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Manufacturing Payrolls (Aug),-0.999999999999999
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Nonfarm Payrolls (Aug),-0.9999999999999972
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Participation Rate (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Private Nonfarm Payrolls (Aug),-0.9999999999999991
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_U6 Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Hourly Earnings (MoM) (Aug),1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Government Payrolls (Aug),-0.9999999999999992
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Manufacturing Payrolls (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Nonfarm Payrolls (Aug),-0.9999999999999974
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Participation Rate (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Private Nonfarm Payrolls (Aug),-0.9999999999999992
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_U6 Unemployment Rate (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),0.9487425592741745
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Manufacturing Payrolls (Dec),0.9487425592741745
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Participation Rate (Dec),-0.707327717539755
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Average Hourly Earnings (MoM) (Dec),0.7073277175397557
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Average Hourly Earnings (YoY) (YoY) (Dec),0.9487425592741743
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Government Payrolls (Dec),0.8780213344086224
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Manufacturing Payrolls (Dec),-0.7073277175397553
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Nonfarm Payrolls (Dec),0.991464834714839
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Participation Rate (Dec),-0.8945389455066237
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_U6 Unemployment Rate (Dec),0.9487425592741743
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Unemployment Rate (Dec),0.7073277175397557
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Average Weekly Hours (Feb),0.7068857757799354
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Manufacturing Payrolls (Feb),0.9977823967807802
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Nonfarm Payrolls (Feb),-0.9876601573712926
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Private Nonfarm Payrolls (Feb),-0.9977068473010464
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Unemployment Rate (Feb),-1.0
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Average Hourly Earnings (MoM) (Feb),0.8573510075929535
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Government Payrolls (Feb),0.7068857757799334
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Manufacturing Payrolls (Feb),0.9854423247204163
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Participation Rate (Feb),-0.7068857757799354
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_U6 Unemployment Rate (Feb),-0.9486239738283339
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Unemployment Rate (Feb),-1.0
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),0.9701335925762157
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Manufacturing Payrolls (Jan),0.810553785808885
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Participation Rate (Jan),-1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Average Hourly Earnings (MoM) (Jan),0.8944831066660475
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Manufacturing Payrolls (Jan),0.9061358887348182
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Payrolls Benchmark,-0.9740033184595696
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_U6 Unemployment Rate (Jan),0.7068857757799364
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Average Weekly Hours (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Manufacturing Payrolls (Jul),-0.9999999999999962
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Nonfarm Payrolls (Jul),-1.0000000000000018
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Private Nonfarm Payrolls (Jul),-0.9999999999999962
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Average Weekly Hours (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Government Payrolls (Jul),-1.0000000000000016
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Manufacturing Payrolls (Jul),-0.9999999999999984
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Nonfarm Payrolls (Jul),0.9999999999999984
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Private Nonfarm Payrolls (Jul),1.0000000000000018
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Average Weekly Hours (Jun),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Government Payrolls (Jun),0.9999999999999994
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Manufacturing Payrolls (Jun),0.999999999999996
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Nonfarm Payrolls (Jun),-0.9999999999999986
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Private Nonfarm Payrolls (Jun),-0.999999999999996
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_U6 Unemployment Rate (Jun),0.9999999999999986
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Average Weekly Hours (Jun),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Government Payrolls (Jun),1.0000000000000018
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Manufacturing Payrolls (Jun),0.9999999999999997
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Nonfarm Payrolls (Jun),-0.9999999999999989
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Private Nonfarm Payrolls (Jun),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_U6 Unemployment Rate (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Unemployment Rate (Jun),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Average Weekly Hours (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Manufacturing Payrolls (May),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Nonfarm Payrolls (May),-0.9999999999999967
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Participation Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Private Nonfarm Payrolls (May),-0.9999999999999977
Forecast_Average Hourly Earnings (MoM) (May),Forecast_U6 Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Hourly Earnings (MoM) (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Hourly Earnings (YoY) (YoY) (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Weekly Hours (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Government Payrolls (May),-0.9999999999999969
Forecast_Average Hourly Earnings (MoM) (May),Previous_Manufacturing Payrolls (May),1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (May),Previous_Nonfarm Payrolls (May),-0.9999999999999988
Forecast_Average Hourly Earnings (MoM) (May),Previous_Private Nonfarm Payrolls (May),-0.9999999999999969
Forecast_Average Hourly Earnings (MoM) (May),Previous_U6 Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Unemployment Rate (May),-0.9999999999999977
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Average Weekly Hours (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Manufacturing Payrolls (Nov),-1.0000000000000004
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Nonfarm Payrolls (Nov),0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Participation Rate (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Private Nonfarm Payrolls (Nov),-1.0000000000000009
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Unemployment Rate (Nov),-1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Average Hourly Earnings (MoM) (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Average Weekly Hours (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Government Payrolls (Nov),-1.0000000000000004
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Manufacturing Payrolls (Nov),0.9999999999999997
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Nonfarm Payrolls (Nov),0.9999999999999997
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Participation Rate (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Private Nonfarm Payrolls (Nov),0.999999999999999
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_U6 Unemployment Rate (Nov),-1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Unemployment Rate (Nov),-1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Average Hourly Earnings (YoY) (YoY) (Oct),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Average Weekly Hours (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Government Payrolls (Oct),-1.000000000000001
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Manufacturing Payrolls (Oct),1.000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Nonfarm Payrolls (Oct),0.9999999999999983
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Participation Rate (Oct),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Private Nonfarm Payrolls (Oct),1.0000000000000016
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Unemployment Rate (Oct),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Hourly Earnings (MoM) (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Hourly Earnings (YoY) (YoY) (Oct),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Weekly Hours (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Manufacturing Payrolls (Oct),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Nonfarm Payrolls (Oct),1.0000000000000004
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Participation Rate (Oct),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Private Nonfarm Payrolls (Oct),1.0000000000000004
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_U6 Unemployment Rate (Oct),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Unemployment Rate (Oct),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Average Hourly Earnings (YoY) (YoY) (Sep),1.0
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Manufacturing Payrolls (Sep),-1.0
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Nonfarm Payrolls (Sep),-1.0000000000000036
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Private Nonfarm Payrolls (Sep),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Unemployment Rate (Sep),-1.0
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Average Hourly Earnings (YoY) (YoY) (Sep),1.0
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Government Payrolls (Sep),-1.0000000000000016
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Manufacturing Payrolls (Sep),-1.0
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Nonfarm Payrolls (Sep),-0.9999999999999979
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Private Nonfarm Payrolls (Sep),-0.9999999999999967
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_U6 Unemployment Rate (Sep),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Average Hourly Earnings (MoM) (Apr),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Government Payrolls (Apr),0.999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Manufacturing Payrolls (Apr),0.9999999999999991
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Nonfarm Payrolls (Apr),0.9999999999999987
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Nonfarm Productivity (QoQ) (Q1),-0.8321569712922354
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Participation Rate (Apr),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Private Nonfarm Payrolls (Apr),0.9999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Trade Balance (Mar),-0.9999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_U6 Unemployment Rate (Apr),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Average Hourly Earnings (MoM) (Apr),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Average Hourly Earnings (YoY) (YoY) (Apr),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Government Payrolls (Apr),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Manufacturing Payrolls (Apr),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Nonfarm Payrolls (Apr),1.000000000000001
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Nonfarm Productivity (QoQ) (Q1),-0.7491475791939791
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Private Nonfarm Payrolls (Apr),0.9999999999999963
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Trade Balance (Mar),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_U6 Unemployment Rate (Apr),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Unit Labor Costs (QoQ) (Q1),0.9486635467906288
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Average Hourly Earnings (MoM) (Aug),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Government Payrolls (Aug),-0.9999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Manufacturing Payrolls (Aug),-0.999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Nonfarm Payrolls (Aug),-0.9999999999999972
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Participation Rate (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Private Nonfarm Payrolls (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_U6 Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Hourly Earnings (MoM) (Aug),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Government Payrolls (Aug),-0.9999999999999992
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Manufacturing Payrolls (Aug),-0.9999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Nonfarm Payrolls (Aug),-0.9999999999999977
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Participation Rate (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Private Nonfarm Payrolls (Aug),-0.9999999999999992
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_U6 Unemployment Rate (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Unemployment Rate (Aug),-0.9999999999999989
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Forecast_Average Hourly Earnings (MoM) (Dec),0.9487425592741745
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Forecast_Manufacturing Payrolls (Dec),0.9999999999999994
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Average Hourly Earnings (MoM) (Dec),0.8944831066660498
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Average Hourly Earnings (YoY) (YoY) (Dec),1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Government Payrolls (Dec),0.9842844966371982
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Nonfarm Payrolls (Dec),0.8994400683566691
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Participation Rate (Dec),-0.7074160064982985
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_U6 Unemployment Rate (Dec),1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Unemployment Rate (Dec),0.8944831066660497
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Average Hourly Earnings (MoM) (Feb),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Average Weekly Hours (Feb),0.7068857757799355
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Manufacturing Payrolls (Feb),0.9977823967807802
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Nonfarm Payrolls (Feb),-0.9876601573712928
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Private Nonfarm Payrolls (Feb),-0.9977068473010465
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Unemployment Rate (Feb),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Average Hourly Earnings (MoM) (Feb),0.8573510075929534
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Government Payrolls (Feb),0.7068857757799334
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Manufacturing Payrolls (Feb),0.9854423247204162
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Participation Rate (Feb),-0.7068857757799355
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_U6 Unemployment Rate (Feb),-0.9486239738283341
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Unemployment Rate (Feb),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Average Hourly Earnings (MoM) (Jan),0.9701335925762157
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Manufacturing Payrolls (Jan),0.9284107558268042
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Participation Rate (Jan),-0.9701335925762166
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Private Nonfarm Payrolls (Jan),0.7271145930859573
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Average Hourly Earnings (MoM) (Jan),0.7593140790657636
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Manufacturing Payrolls (Jan),0.9816772795183428
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Payrolls Benchmark,-0.8899627653203946
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_U6 Unemployment Rate (Jan),0.8573510075929558
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Average Hourly Earnings (MoM) (Jul),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Average Weekly Hours (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Manufacturing Payrolls (Jul),-0.9999999999999962
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Nonfarm Payrolls (Jul),-1.0000000000000018
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Private Nonfarm Payrolls (Jul),-0.9999999999999962
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Average Weekly Hours (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Government Payrolls (Jul),-1.0000000000000016
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Manufacturing Payrolls (Jul),-0.9999999999999986
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Nonfarm Payrolls (Jul),0.9999999999999986
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Private Nonfarm Payrolls (Jul),1.0000000000000018
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Unemployment Rate (Jul),-1.0
