Event_1,Event_2,Correlation
Forecast_Average Hourly Earnings (MoM) (May),Forecast_U6 Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Hourly Earnings (MoM) (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Hourly Earnings (YoY) (YoY) (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Average Weekly Hours (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Government Payrolls (May),-0.999999999999997
Forecast_Average Hourly Earnings (MoM) (May),Previous_Manufacturing Payrolls (May),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (May),Previous_Nonfarm Payrolls (May),-0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (May),Previous_Private Nonfarm Payrolls (May),-0.999999999999997
Forecast_Average Hourly Earnings (MoM) (May),Previous_U6 Unemployment Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Previous_Unemployment Rate (May),-0.9999999999999984
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Average Weekly Hours (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Manufacturing Payrolls (Nov),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Nonfarm Payrolls (Nov),1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Participation Rate (Nov),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Private Nonfarm Payrolls (Nov),-0.9999999999999994
Forecast_Average Hourly Earnings (MoM) (Nov),Forecast_Unemployment Rate (Nov),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Average Hourly Earnings (MoM) (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Average Weekly Hours (Nov),1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Government Payrolls (Nov),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Manufacturing Payrolls (Nov),1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Nonfarm Payrolls (Nov),1.0000000000000036
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Participation Rate (Nov),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Private Nonfarm Payrolls (Nov),0.9999999999999994
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_U6 Unemployment Rate (Nov),-1.0
Forecast_Average Hourly Earnings (MoM) (Nov),Previous_Unemployment Rate (Nov),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Average Hourly Earnings (YoY) (YoY) (Oct),-1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Average Weekly Hours (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Government Payrolls (Oct),-1.0000000000000029
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Manufacturing Payrolls (Oct),1.000000000000003
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Nonfarm Payrolls (Oct),0.9999999999999991
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Participation Rate (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Private Nonfarm Payrolls (Oct),1.000000000000001
Forecast_Average Hourly Earnings (MoM) (Oct),Forecast_Unemployment Rate (Oct),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Hourly Earnings (MoM) (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Hourly Earnings (YoY) (YoY) (Oct),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Average Weekly Hours (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Manufacturing Payrolls (Oct),1.0000000000000036
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Nonfarm Payrolls (Oct),1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Participation Rate (Oct),1.0
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Private Nonfarm Payrolls (Oct),1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_U6 Unemployment Rate (Oct),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Oct),Previous_Unemployment Rate (Oct),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Average Hourly Earnings (YoY) (YoY) (Sep),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Manufacturing Payrolls (Sep),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Nonfarm Payrolls (Sep),-1.0000000000000033
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Private Nonfarm Payrolls (Sep),-0.9999999999999993
Forecast_Average Hourly Earnings (MoM) (Sep),Forecast_Unemployment Rate (Sep),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Average Hourly Earnings (YoY) (YoY) (Sep),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Government Payrolls (Sep),-1.000000000000001
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Manufacturing Payrolls (Sep),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Nonfarm Payrolls (Sep),-0.9999999999999993
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_Private Nonfarm Payrolls (Sep),-1.0000000000000007
Forecast_Average Hourly Earnings (MoM) (Sep),Previous_U6 Unemployment Rate (Sep),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Average Hourly Earnings (MoM) (Apr),0.9999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Government Payrolls (Apr),0.8944677251741291
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Manufacturing Payrolls (Apr),0.7967367634072723
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Nonfarm Payrolls (Apr),0.969343783745114
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Participation Rate (Apr),0.8944677251741311
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Private Nonfarm Payrolls (Apr),0.9647830788726973
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Trade Balance (Mar),-0.8889750879537764
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_U6 Unemployment Rate (Apr),-0.8944677251741308
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Forecast_Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Average Hourly Earnings (MoM) (Apr),0.9999999999999999
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Average Hourly Earnings (YoY) (YoY) (Apr),0.8001630582480311
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Nonfarm Payrolls (Apr),0.854737619519112
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Private Nonfarm Payrolls (Apr),0.988183302353274
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Trade Balance (Mar),0.8943617223404757
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_U6 Unemployment Rate (Apr),-0.94872626669868
Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),Previous_Unemployment Rate (Apr),-0.9487262666986801
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Average Hourly Earnings (MoM) (Aug),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Average Weekly Hours (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Government Payrolls (Aug),-1.0000000000000004
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Manufacturing Payrolls (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Nonfarm Payrolls (Aug),-0.9999999999999987
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Participation Rate (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Private Nonfarm Payrolls (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_U6 Unemployment Rate (Aug),-0.9999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Forecast_Unemployment Rate (Aug),-0.9999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Hourly Earnings (MoM) (Aug),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Average Weekly Hours (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Government Payrolls (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Manufacturing Payrolls (Aug),-1.0000000000000004
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Nonfarm Payrolls (Aug),-0.9999999999999987
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Participation Rate (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Private Nonfarm Payrolls (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_U6 Unemployment Rate (Aug),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),Previous_Unemployment Rate (Aug),-0.9999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Forecast_Average Hourly Earnings (MoM) (Dec),0.9487262666986795
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Forecast_Manufacturing Payrolls (Dec),0.9999999999999988
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Average Hourly Earnings (MoM) (Dec),0.8944677251741318
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Average Hourly Earnings (YoY) (YoY) (Dec),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Government Payrolls (Dec),0.984280842003918
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Nonfarm Payrolls (Dec),0.8994078260000136
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Participation Rate (Dec),-0.7073309857201202
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_U6 Unemployment Rate (Dec),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),Previous_Unemployment Rate (Dec),0.8944677251741316
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Average Hourly Earnings (MoM) (Feb),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Average Weekly Hours (Feb),0.7069465666651328
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Manufacturing Payrolls (Feb),0.9977831565124137
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Nonfarm Payrolls (Feb),-0.9876643208263884
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Private Nonfarm Payrolls (Feb),-0.9977076328261164
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Forecast_Unemployment Rate (Feb),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Average Hourly Earnings (MoM) (Feb),0.8573900505652902
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Government Payrolls (Feb),0.7069465666651327
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Manufacturing Payrolls (Feb),0.9854472199785999
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Participation Rate (Feb),-0.7069465666651328
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_U6 Unemployment Rate (Feb),-0.9486402962918596
Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),Previous_Unemployment Rate (Feb),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Average Hourly Earnings (MoM) (Jan),0.97013604062926
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Manufacturing Payrolls (Jan),0.9284288939703585
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Participation Rate (Jan),-0.9701360406292591
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Forecast_Private Nonfarm Payrolls (Jan),0.7271913665363546
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Average Hourly Earnings (MoM) (Jan),0.759298260267393
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Manufacturing Payrolls (Jan),0.9816812095120078
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_Payrolls Benchmark,-0.8899633354655749
Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),Previous_U6 Unemployment Rate (Jan),0.8573900505652942
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Average Hourly Earnings (MoM) (Jul),0.9999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Average Weekly Hours (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Manufacturing Payrolls (Jul),-0.999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Nonfarm Payrolls (Jul),-0.9999999999999993
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Private Nonfarm Payrolls (Jul),-0.999999999999997
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Forecast_Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Average Weekly Hours (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Government Payrolls (Jul),-1.0000000000000029
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Manufacturing Payrolls (Jul),-0.9999999999999991
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Nonfarm Payrolls (Jul),0.9999999999999991
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Private Nonfarm Payrolls (Jul),1.0000000000000029
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_U6 Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),Previous_Unemployment Rate (Jul),-1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Average Hourly Earnings (MoM) (Jun),1.0
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Average Weekly Hours (Jun),1.0000000000000002
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Government Payrolls (Jun),0.999999999999998
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Manufacturing Payrolls (Jun),0.9999999999999966
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Nonfarm Payrolls (Jun),-0.9999999999999988
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_Private Nonfarm Payrolls (Jun),-0.9999999999999969
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Forecast_U6 Unemployment Rate (Jun),0.9999999999999992
Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),Previous_Average Weekly Hours (Jun),1.0000000000000002
